#OTU ID	A1-JM2s-2-2621739	A2-Joya3s-2-2621747	A3-J6r-2-2621805	A7-Cueva2s-2-2621837	A8-JM2r-2-2621845	A9-Q4r-2-2621903	A10-QM6r-2-2621911	A11-Cueva3r-2-2621919	A12-QM6s-2-2621927	B1-Base1s-2-2621740	B2-Joya2s-2-2621748	B3-JM3r-2-2621806	B8-JM1r-2-2621846	B9-Q3r-2-2621904	B10-QM5r-2-2621912	B11-Cueva2r-2-2621920	B12-QM2s-2-2621928	C1-Cueva5s-2-2621741	C3-JM4r-2-2621807	C9-Q2r-2-2621905	C10-QM4r-2-2621913	C11-Cueva1r-2-2621921	C12-Base3r-2-2621929	D1-Cueva4s-2-2621742	D3-JM6r-2-2621808	D8-J5r-2-2621848	D9-Q1r-2-2621906	D10-QM3r-2-2621914	D11-Joya9r-2-2621922	D12-Base1r-2-2621930	E1-Cueva3s-2-2621743	E2-Joya2r-2-2621801	E3-J1s-2-2621809	E8-J4r-2-2621849	E9-JM5r-2-2621907	E10-QM2r-2-2621915	E11-Joya8r-2-2621923	E12-Cueva5r-2-2621931	F1-Cueva1s-2-2621744	F2-Q3s-2-2621802	F3-J5s-2-2621810	F8-J3r-2-2621850	F9-QM1s-2-2621908	F10-QM1r-2-2621916	F11-Joya7r-2-2621924	F12-Cueva4r-2-2621932	G1-Joya9s-2-2621745	G2-Q1s-2-2621803	G3-JM1s-2-2621811	G8-J2r-2-2621901	G10-Q6r-2-2621917	G11-Joya3r-2-2621925	G12-Base3s-2-2621933	H1-Joya7s-2-2621746	H2-JM6s-2-2621804	H3-Joya8s-2-2621812	H8-J1r-2-2621902	H10-Q5r-2-2621918	H11-J3s-2-2621926	H12-Q6s-2-2621934	taxonomy
OTU1759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Lepiota; s__Lepiota felina
OTU1760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Trematosphaeriaceae; g__Trematosphaeria; s__
OTU1761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	76	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Ophiosphaerella; s__
OTU1762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	 k__Fungi; p__Rozellomycota; c__; o__; f__; g__; s__
OTU1763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__; o__; f__Incertae sedis; g__Ciliophora; s__
OTU1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Mucoromycota; c__Mucoromycetes; o__Mucorales; f__Mucoraceae; g__Isomucor; s__Isomucor trufemiae
OTU1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	 k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__; g__; s__
OTU1767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	1	 k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__; s__
OTU1769	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Dothideomycetes; o__; f__; g__; s__
OTU1770	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	 k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales; f__Pseudeurotiaceae; g__Leuconeurospora; s__
OTU1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula puellaris
OTU1773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma; s__
OTU1774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	115	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__; o__; f__; g__; s__
OTU1775	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	 k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Calosphaeriales; f__; g__; s__
OTU1776	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__; g__; s__
OTU1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	89	0	 k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Neosetophoma; s__Neosetophoma italica
OTU1778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	 k__Fungi; p__Chytridiomycota; c__Rhizophydiomycetes; o__Rhizophydiales; f__; g__; s__
OTU1779	0	34	0	0	0	0	0	0	0	0	102	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	 k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__; g__; s__
