# Constructed from biom file																																																																				
#OTU ID	A1-JM2s-2-2621739	A2-Joya3s-2-2621747	A3-J6r-2-2621805	A7-Cueva2s-2-2621837	A8-JM2r-2-2621845	A9-Q4r-2-2621903	A10-QM6r-2-2621911	A11-Cueva3r-2-2621919	A12-QM6s-2-2621927	B1-Base1s-2-2621740	B2-Joya2s-2-2621748	B3-JM3r-2-2621806	B7-NEG1-2-2621838	B8-JM1r-2-2621846	B9-Q3r-2-2621904	B10-QM5r-2-2621912	B11-Cueva2r-2-2621920	B12-QM2s-2-2621928	C1-Cueva5s-2-2621741	C2-NEG3-2-2621749	C3-JM4r-2-2621807	C7-POS1-2-2621839	C8-NEG4-2-2621847	C9-Q2r-2-2621905	C10-QM4r-2-2621913	C11-Cueva1r-2-2621921	C12-Base3r-2-2621929	D1-Cueva4s-2-2621742	D2-POS3-2-2621750	D3-JM6r-2-2621808	D8-J5r-2-2621848	D9-Q1r-2-2621906	D10-QM3r-2-2621914	D11-Joya9r-2-2621922	D12-Base1r-2-2621930	E1-Cueva3s-2-2621743	E2-Joya2r-2-2621801	E3-J1s-2-2621809	E8-J4r-2-2621849	E9-JM5r-2-2621907	E10-QM2r-2-2621915	E11-Joya8r-2-2621923	E12-Cueva5r-2-2621931	F1-Cueva1s-2-2621744	F2-Q3s-2-2621802	F3-J5s-2-2621810	F8-J3r-2-2621850	F9-QM1s-2-2621908	F10-QM1r-2-2621916	F11-Joya7r-2-2621924	F12-Cueva4r-2-2621932	G1-Joya9s-2-2621745	G2-Q1s-2-2621803	G3-JM1s-2-2621811	G8-J2r-2-2621901	G9-POS2-2-2621909	G10-Q6r-2-2621917	G11-Joya3r-2-2621925	G12-Base3s-2-2621933	H1-Joya7s-2-2621746	H2-JM6s-2-2621804	H3-Joya8s-2-2621812	H8-J1r-2-2621902	H9-NEG2-2-2621910	H10-Q5r-2-2621918	H11-J3s-2-2621926	H12-Q6s-2-2621934	taxonomy
OTU12	0	187	0	807	0	0	0	3910	0	0	1024	101	0	753	0	0	0	0	0	5	0	0	5	0	0	7111	653	1062	0	0	0	0	0	888	0	753	0	0	0	1969	301	28022	0	334	0	0	0	0	2257	3740	25551	3758	0	0	0	0	0	21554	1103	0	0	2563	0	2	0	0	0	t__nomyc; a__endo; k__Fungi; p__ Ascomycota; c__ Leotiomycetes; o__ Helotiales; f__ Vibrisseaceae; g__ Phialocephala; s__
OTU13	40800	0	18730	0	14452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Sebacinales; f__ Sebacinaceae; g__ Sebacina; s__
OTU14	2212	0	149	2541	2734	0	0	5054	98	2118	837	353	0	0	112	489	0	0	0	0	0	0	1	1979	115	0	3751	5431	0	0	0	0	222	2373	0	0	0	0	0	0	0	4690	15006	0	0	0	0	0	0	2089	27101	7196	0	176	0	0	0	5181	2305	178	0	4183	88	2	0	0	666	t__nomyc; a__sap; k__Fungi; p__ Ascomycota; c__ Dothideomycetes; o__ Capnodiales; f__ Teratosphaeriaceae; g__ Capnobotryella; s__
OTU15	5278	0	1865	0	0	0	0	0	0	0	0	0	0	0	0	913	0	7696	0	0	0	0	1	0	2235	0	0	0	0	0	0	0	42680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1888	0	0	5	0	0	3567	t__unknown; a__unknown; k__Fungi; p__ Ascomycota; c__ Leotiomycetes; o__ Helotiales; f__ Helotiaceae; g__ Meliniomyces; s__ Meliniomyces bicolor
OTU16	657	0	1275	190	33396	0	0	540	0	0	0	2459	10	466	0	40866	0	0	0	3	0	0	1	1176	5138	0	0	718	0	0	0	0	9450	0	0	865	0	0	0	0	0	0	1682	0	0	0	0	383	0	0	39097	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	t__unknown; a__unknown; k__Fungi; p__ Ascomycota; c__ Leotiomycetes; o__ Helotiales; f__ Hyaloscyphaceae; g__ Arachnopeziza; s__
OTU17	2133	0	478	0	2701	0	0	0	752	0	0	0	0	0	0	0	0	0	0	0	2811	0	2	0	0	0	0	0	0	8235	6573	0	0	0	0	0	0	11030	0	0	0	0	0	0	0	2740	18534	147	0	0	0	0	0	608	0	0	0	0	0	0	589	0	1351	0	0	667	0	t__nomyc; a__sap; k__Fungi; p__ Ascomycota; c__ Leotiomycetes; o__ Helotiales; f__; g__ Leohumicola; s__
OTU18	0	0	0	0	0	0	0	0	0	22754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Gomphales; f__ Lentariaceae; g__ Kavinia; s__
OTU19	0	0	0	57	0	0	0	3335	0	0	2782	0	4	0	0	0	78	0	0	0	0	0	0	0	0	0	391	0	0	0	0	0	0	3531	0	817	5278	0	0	0	0	13235	0	0	0	0	0	0	0	10861	0	1944	0	0	0	0	0	11565	0	802	0	628	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Ascomycota; c__ Leotiomycetes; o__ Helotiales; f__ Helotiaceae; g__ Infundichalara; s__ Infundichalara microchona
OTU20	0	138	0	702	0	0	0	4650	0	0	2113	0	6	0	0	0	0	0	0	4	0	0	4	0	0	875	11989	275	0	0	0	0	0	312	0	0	6940	0	0	0	0	3848	0	0	0	0	0	0	0	13874	0	505	0	0	0	0	0	6169	127	466	0	1600	0	1	0	0	0	t__unknown; a__unknown; k__Fungi; p__ Ascomycota; c__ Leotiomycetes; o__ Helotiales; f__ Leotiaceae; g__ Pezoloma; s__ Pezoloma ericae
OTU21	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	251	0	t__unknown; a__unknown; k__Fungi; p__ Ascomycota; c__ Dothideomycetes; o__ Pleosporales; f__ Nectriaceae; g__; s__
OTU22	0	7032	0	0	0	0	0	0	0	0	5443	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220	0	29027	0	27	0	0	0	t__unknown; a__unknown; k__Fungi; p__ Ascomycota; c__ Xylonomycetes; o__; f__; g__; s__
OTU23	0	0	0	2749	0	0	0	7461	0	0	0	0	0	0	0	0	273	0	0	4	0	0	2	0	0	0	11857	522	0	0	0	0	0	0	686	1384	0	0	0	0	0	14141	0	0	0	0	0	0	0	0	5013	0	0	0	0	0	0	0	187	0	0	442	0	1	0	0	0	t__nomyc; a__unknown; k__Fungi; p__ Ascomycota; c__ Leotiomycetes; o__ Helotiales; f__; g__ Xenopolyscytalum; s__
OTU24	0	0	0	0	0	0	39836	0	9690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Thelephorales; f__ Thelephoraceae; g__; s__
OTU25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	23165	13	0	0	0	0	0	16201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25875	0	0	0	0	0	0	0	0	0	0	0	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Cantharellales; f__ Clavulinaceae; g__ Clavulina; s__
OTU26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61024	0	0	0	0	0	0	0	0	0	2073	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Sebacinales; f__ Sebacinaceae; g__ Sebacina; s__
OTU27	0	0	0	0	0	0	0	0	0	0	2830	0	0	0	0	0	0	0	0	35	0	0	26	0	0	34605	1512	0	0	0	0	0	0	0	0	0	3940	0	0	0	0	0	0	1890	0	0	0	0	0	5189	0	0	0	0	0	0	0	1727	0	3213	0	204	0	3	0	0	0	t__unknown; a__unknown; k__Fungi; p__ Ascomycota; c__ Leotiomycetes; o__ Helotiales; f__ Helotiaceae; g__ Hymenoscyphus; s__ Hymenoscyphus tetracladius
OTU28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Ascomycota; c__ Eurotiomycetes; o__ Eurotiales; f__ Aspergillaceae; g__ Penicillium; s__ Penicillium roseopurpureum
OTU29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	22781	12	0	0	0	0	0	9710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13762	0	0	0	0	0	0	0	1	0	0	0	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Cortinariaceae; g__ Cortinarius; s__
OTU30	0	0	0	2804	10619	0	0	2063	0	0	3170	0	0	370	0	0	0	0	0	2	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	20735	0	0	2713	0	13310	0	0	0	0	0	0	0	0	11414	0	0	1683	0	0	0	0	0	0	0	3035	0	3	0	0	0	t__nomyc; a__unknown; k__Fungi; p__ Ascomycota; c__ Lecanoromycetes; o__ Lecanorales; f__; g__; s__
OTU31	0	0	0	32233	0	0	0	0	0	0	0	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23357	0	0	0	0	0	0	0	0	0	3544	0	0	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Ascomycota; c__ Geoglossomycetes; o__ Geoglossales; f__ Geoglossaceae; g__ Geoglossum; s__
OTU32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	12	0	0	0	44059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__unknown; a__unknown; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Trechisporales; f__; g__; s__
OTU33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2007	0	0	0	0	0	0	0	0	0	0	15	0	0	33155	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Inocybaceae; g__ Inocybe; s__
OTU34	0	0	0	12894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1507	0	0	0	0	0	0	0	6714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Clavariaceae; g__ Ramariopsis; s__
OTU35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10945	3	0	0	0	0	0	9227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12145	0	2291	0	0	0	0	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Ascomycota; c__ Pezizomycetes; o__ Pezizales; f__ Pyronemataceae; g__ Aleuria; s__ Aleuria aurantia
OTU36	0	213	0	830	0	0	0	0	0	0	10468	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1290	0	0	0	0	2003	0	0	0	0	0	0	0	12334	0	1196	0	0	0	0	0	0	0	5377	0	818	0	2	0	0	0	t__nomyc; a__unknown; k__Fungi; p__ Ascomycota; c__ Eurotiomycetes; o__ Chaetothyriales; f__ Herpotrichiellaceae; g__; s__
OTU37	0	0	0	0	0	0	0	0	0	4470	0	151	0	326	0	0	0	0	0	7	0	0	4	0	27902	0	0	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	1716	0	0	0	0	0	0	0	0	0	0	0	112	0	0	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Inocybaceae; g__ Inocybe; s__
OTU38	302	0	0	0	0	0	0	0	1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3175	0	0	0	0	0	5135	0	0	0	0	0	0	263	0	0	8202	0	0	0	0	0	0	0	0	47402	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Polyporales; f__ Polyporaceae; g__; s__
OTU39	0	0	0	0	0	0	0	6302	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	6533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	732	0	0	0	0	0	0	0	23217	0	0	0	0	0	0	0	0	0	t__nomyc; a__unknown; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Tricholomataceae; g__ Mycena; s__ Mycena leptocephala
OTU40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4103	0	0	0	0	0	0	0	6284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	30678	0	0	t__nomyc; a__unknown; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Tricholomataceae; g__Hemimycena; s__
OTU41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__unknown; a__unknown; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Tricholomataceae; g__ Mycenella; s__
OTU43	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2198	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	23901	0	0	0	0	0	0	0	341	0	0	0	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Ascomycota; c__ Dothideomycetes; o__ Venturiales; f__ Sympoventuriaceae; g__ Scolecobasidium; s__ Scolecobasidium fusiforme
OTU44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4443	0	0	0	0	0	0	0	23720	0	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__unknown; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Polyporales; f__; g__; s__
OTU45	0	0	0	295	0	0	74	0	866	0	0	0	0	0	138	0	50	318	0	0	306	0	1	186	0	0	867	0	0	0	0	0	0	0	384	271	2958	1061	0	0	0	11829	0	0	334	0	0	198	169	9724	0	549	0	0	2332	0	801	0	1947	102	0	185	0	3	88	222	2417	t__nomyc; a__endo; k__Fungi; p__ Ascomycota; c__ Leotiomycetes; o__ Helotiales; f__ Incertae sedis; g__ Cadophora; s__ Cadophora orchidicola
OTU47	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Ascomycota; c__ Archaeorhizomycetes; o__ Archaeorhizomycetales; f__ Archaeorhizomycetaceae; g__ Archaeorhizomyces; s__
OTU48	0	0	0	0	0	22165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	979	0	0	4	0	0	2946	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Russulales; f__ Russulaceae; g__ Russula; s__
OTU49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	23547	t__myc; a__ecm; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Cortinariaceae; g__ Inocybe; s__
OTU50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	11	0	0	19134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__unknown; k__Fungi; p__ Ascomycota; c__ Leotiomycetes; o__ Helotiales; f__; g__; s__
OTU51	0	4116	0	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	1	0	0	0	t__nomyc; a__unknown; k__Fungi; p__ Ascomycota; c__ Leotiomycetes; o__ Helotiales; f__; g__; s__
OTU52	0	0	0	906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	14	0	0	0	20817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	725	0	0	0	0	0	0	0	0	t__unknown; a__unknown; k__Fungi; p__ Ascomycota; c__ Dothideomycetes; o__ Pleosporales; f__; g__; s__
OTU53	0	68	0	2038	0	0	0	2690	0	0	1920	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1130	0	3374	0	0	0	0	0	0	0	7982	0	0	0	0	0	9138	0	1639	0	0	0	0	0	0	1129	8207	0	0	0	0	0	0	0	0	0	2232	0	0	0	0	0	t__nomyc; a__unknown; k__Fungi; p__ Ascomycota; c__ Eurotiomycetes; o__ Chaetothyriales; f__ Herpotrichiellaceae; g__; s__
OTU54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25072	0	0	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Basidiomycota; c__ Agaricomycetes; o__ Agaricales; f__ Clavariaceae; g__ Clavulinopsis; s__ Clavulinopsis laeticolor
OTU56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t__nomyc; a__sap; k__Fungi; p__ Ascomycota; c__ Archaeorhizomycetes; o__ Archaeorhizomycetales; f__ Archaeorhizomycetaceae; g__ Archaeorhizomyces; s__
OTU57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	17848	0	t__unknown; a__unknown; k__Fungi; p__ Ascomycota; c__ Dothideomycetes; o__ Pleosporales; f__ Amniculicolaceae; g__ Murispora; s__
OTU58	0	0	0	0	0	531	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	19453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	t__myc; a__ecm; k__Fungi; p__ Ascomycota; c__ Pezizomycetes; o__ Pezizales; f__ Tuberaceae; g__ Tuber; s__
