"","Myc","Trophic","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU69","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Tricholomataceae","g__ Tricholoma","s__"
"OTU77","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Amanitaceae","g__ Amanita","s__ Amanita populiphila"
"OTU87","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__ Tomentella","s__"
"OTU89","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__","s__"
"OTU93","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__ Tomentella","s__"
"OTU100","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Pezizomycetes","o__ Pezizales","f__ Pyronemataceae","g__","s__"
"OTU112","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Russulales","f__ Russulaceae","g__ Russula","s__ Russula risigallina"
"OTU117","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Cantharellales","f__ Clavulinaceae","g__ Clavulina","s__"
"OTU126","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Russulales","f__ Russulaceae","g__ Russula","s__"
"OTU127","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__ Tomentella","s__"
"OTU131","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Russulales","f__ Russulaceae","g__ Russula","s__"
"OTU133","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Cortinariaceae","g__ Cortinarius","s__"
"OTU178","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__ Sebacina","s__"
"OTU180","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Cortinariaceae","g__","s__"
"OTU191","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__","s__"
"OTU197","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__ Sebacina","s__"
"OTU249","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Cortinariaceae","g__ Cortinarius","s__"
"OTU251","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Cantharellales","f__ Clavulinaceae","g__ Clavulina","s__"
"OTU279","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__","s__"
"OTU296","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Pezizomycetes","o__ Pezizales","f__ Pyronemataceae","g__ Trichophaea","s__"
"OTU311","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__","s__"
"OTU313","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__ Sebacina","s__"
"OTU363","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__ Sebacina","s__"
"OTU374","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Cantharellales","f__ Clavulinaceae","g__ Clavulina","s__ Clavulina cinerea"
"OTU413","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__","g__","s__"
"OTU450","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Boletales","f__ Astraeaceae","g__ Astraeus","s__ Astraeus morganii"
"OTU457","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Eurotiomycetes","o__ Eurotiales","f__ Elaphomycetaceae","g__ Elaphomyces","s__ Elaphomyces decipiens"
"OTU463","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__","s__"
"OTU488","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__ Sebacina","s__"
"OTU495","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__ Sebacina","s__"
"OTU503","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Pezizomycetes","o__ Pezizales","f__ Pyronemataceae","g__ Tarzetta","s__"
"OTU509","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Atheliales","f__ Atheliaceae","g__ Tylospora","s__"
"OTU525","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Pezizomycetes","o__ Pezizales","f__ Pyronemataceae","g__ Pustularia","s__"
"OTU553","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Atheliales","f__ Atheliaceae","g__ Piloderma","s__"
"OTU563","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Hydnangiaceae","g__ Laccaria","s__ Laccaria tetraspora"
"OTU569","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__ Sebacina","s__"
